source,target,weight
SpaceNews,Ka-Sat,1
Jet Propulsion Laboratory,Дискавери,1
US National Aeronautics and Space Administration (NASA),Дискавери,1
Space Research Center,Дискавери,1
Marshall Space Flight Center,Дискавери,1
SpaceX,United Launch Alliance,1
Federal Aviation Administration,United Launch Alliance,1
US National Aeronautics and Space Administration (NASA),United Launch Alliance,2
European Space Agency ESA,United Launch Alliance,1
SpaceNews,United Launch Alliance,1
United Launch Alliance,United Launch Alliance,2
Virgin Galactic,United Launch Alliance,1
Guiana Space Center,GSAT-19,1
US National Aeronautics and Space Administration (NASA),ASM-135 ASAT,1
Guiana Space Center,GSAT-17,1
Armstrong Flight Research Center,Everts Air,1
Federal Aviation Administration,Everts Air,1
US National Aeronautics and Space Administration (NASA),Everts Air,1
SpaceX,SwissCube,1
European Space Agency ESA,SwissCube,1
SpaceNews,SwissCube,1
Armstrong Flight Research Center,Mitsubishi A6M Zero,1
Federal Aviation Administration,Mitsubishi A6M Zero,1
US National Aeronautics and Space Administration (NASA),Mitsubishi A6M Zero,1
SpaceX,Starlink,1
Starlink,Starlink,1
Blue Origin,Starlink,1
US National Aeronautics and Space Administration (NASA),Jason-3,1
European Space Agency ESA,Jason-3,1
SpaceNews,Jason-3,1
United Launch Alliance,Jason-3,1
Jet Propulsion Laboratory,Аполлон,1
US National Aeronautics and Space Administration (NASA),Аполлон,1
Space Research Center,Аполлон,1
Marshall Space Flight Center,Аполлон,1
US National Aeronautics and Space Administration (NASA),Dragonfly,1
Jet Propulsion Laboratory,Планк,1
US National Aeronautics and Space Administration (NASA),Планк,1
Space Research Center,Планк,1
Marshall Space Flight Center,Планк,1
SpaceX,Virgin Galactic,1
Federal Aviation Administration,Virgin Galactic,1
US National Aeronautics and Space Administration (NASA),Virgin Galactic,1
United Launch Alliance,Virgin Galactic,1
Virgin Galactic,Virgin Galactic,1
Jet Propulsion Laboratory,InSight,1
US National Aeronautics and Space Administration (NASA),InSight,1
Space Research Center,InSight,1
Marshall Space Flight Center,InSight,1
SpaceNews,Амос-6,1
US National Aeronautics and Space Administration (NASA),МКС,3
European Space Agency ESA,МКС,4
Naked Science,МКС,1
Roscosmos,МКС,3
SpaceX,Вега,1
Leonardo,Вега,1
US National Aeronautics and Space Administration (NASA),Вега,1
European Space Agency ESA,Вега,4
Italian Space Agency (Agenzia Spaziale Italiana),Вега,1
Safran,Вега,2
SpaceNews,Вега,1
UK space agency,Вега,1
Guiana Space Center,Вега,1
ClearSpace,Вега,1
Rocket Lab,Вега,1
Japan Aerospace Exploration Agency,Вега,1
SpaceX,OneWeb,3
US National Aeronautics and Space Administration (NASA),OneWeb,2
European Space Agency ESA,OneWeb,1
Starlink,OneWeb,2
Kennedy Space Center,OneWeb,1
SpaceNews,OneWeb,4
UK space agency,OneWeb,1
Blue Origin,OneWeb,2
United Launch Alliance,OneWeb,1
ClearSpace,OneWeb,1
Rocket Lab,OneWeb,1
Japan Aerospace Exploration Agency,OneWeb,1
SpaceX,United Airlines,2
Jet Propulsion Laboratory,United Airlines,1
Armstrong Flight Research Center,United Airlines,1
Federal Aviation Administration,United Airlines,3
US National Aeronautics and Space Administration (NASA),United Airlines,8
European Space Agency ESA,United Airlines,4
Safran,United Airlines,1
Space Research Center,United Airlines,1
Kennedy Space Center,United Airlines,1
SpaceNews,United Airlines,3
United Launch Alliance,United Airlines,2
Marshall Space Flight Center,United Airlines,1
Meggitt PLC,United Airlines,1
Virgin Galactic,United Airlines,1
SpaceX,Inmarsat-5 F4,1
SpaceNews,Inmarsat-5 F4,1
SpaceX,Lufthansa,1
SpaceNews,Lufthansa,1
Jet Propulsion Laboratory,GGS WIND,1
US National Aeronautics and Space Administration (NASA),GGS WIND,1
Space Research Center,GGS WIND,1
Marshall Space Flight Center,GGS WIND,1
US National Aeronautics and Space Administration (NASA),Артемида,1
SpaceX,Qatar Airways,1
SpaceNews,Qatar Airways,1
